NEIGHBORHOOD_CLUSTER,crime_cnt,ucr-rank_avg,SHIFT_day_rate,SHIFT_evening_rate,SHIFT_midnight_rate,OFFENSE_GROUP_property_rate,OFFENSE_GROUP_violent_rate,METHOD_gun_rate,METHOD_knife_rate,METHOD_others_rate
1,11191,6.074256098650701,0.3897774997766062,0.3833437583772675,0.22687874184612636,0.8681976588329908,0.1318023411670092,0.027879546063801268,0.01912250915914574,0.952997944777053
2,35714,5.979755838046704,0.36727893823150587,0.443187545500364,0.18953351626813014,0.8305706445651565,0.16942935543484347,0.04373634989079913,0.03256426051408411,0.9236993895951168
3,19242,6.150452135952603,0.31841804386238437,0.39798357759068703,0.2835983785469286,0.8625402764785365,0.13745972352146346,0.0363787548071926,0.02109967778817171,0.9425215674046357
4,12988,6.073375423467817,0.3420080073914383,0.5561287342161996,0.10186325839236218,0.9484139205420388,0.0515860794579612,0.008777332922697875,0.006544502617801047,0.9846781644595011
5,7224,5.989617940199335,0.38358250276854927,0.47079180509413066,0.14562569213732005,0.9231727574750831,0.07682724252491695,0.009689922480620155,0.01079734219269103,0.9795127353266888
6,24970,6.0961553864637565,0.37148578293952744,0.4228273928714457,0.20568682418902684,0.9118942731277533,0.0881057268722467,0.01329595514617541,0.011774128954745694,0.9749299158990788
7,15390,6.157959714100065,0.35419103313840156,0.44528914879792075,0.20051981806367772,0.878427550357375,0.12157244964262508,0.03625730994152047,0.019363222871994802,0.9443794671864847
8,29960,6.018457943925234,0.33220961281708944,0.47446595460614155,0.193324432576769,0.8930574098798398,0.10694259012016022,0.018057409879839788,0.01985981308411215,0.962082777036048
9,7655,5.969693011103853,0.38327890267798825,0.4446766819072502,0.1720444154147616,0.8423252775963422,0.15767472240365774,0.04977139124755062,0.03109079033311561,0.9191378184193337
10,3684,6.3805646036916395,0.496742671009772,0.42643865363735073,0.07681867535287731,0.9571118349619978,0.04288816503800217,0.013029315960912053,0.004343105320304018,0.9826275787187839
11,7701,6.159849370211661,0.3865731723152837,0.5353850149331255,0.07804181275159071,0.9477989871445267,0.052201012855473315,0.010518114530580444,0.0072717828853395665,0.98221010258408
12,2790,6.166308243727599,0.44193548387096776,0.4691756272401434,0.08888888888888889,0.9494623655913978,0.05053763440860215,0.008960573476702509,0.008243727598566309,0.9827956989247312
13,2976,6.42372311827957,0.5346102150537635,0.3901209677419355,0.07526881720430108,0.969758064516129,0.03024193548387097,0.005376344086021506,0.004032258064516129,0.9905913978494624
14,3754,6.17394778902504,0.4627064464571124,0.42301545018646775,0.11427810335641982,0.9523175279701651,0.04768247202983484,0.009856153436334577,0.006659563132658497,0.9834842834310069
15,5119,6.211564758741941,0.4557530767728072,0.4428599335807775,0.10138698964641532,0.9439343621801133,0.056065637819886695,0.012893143192029694,0.006837272904864231,0.980269583903106
16,2549,6.380149078069831,0.48293448411141626,0.3781875245194194,0.13887799136916437,0.9203609258532758,0.0796390741467242,0.035307963907414676,0.009415457041977247,0.955276579050608
17,12331,6.110291136160895,0.3970480901792231,0.43435244505717296,0.16859946476360393,0.8524856053848026,0.14751439461519747,0.05336144676019788,0.022788095045008516,0.9238504581947936
18,20571,5.864177725924845,0.4019250401050022,0.4091196344368285,0.18895532545816926,0.7931554129599923,0.20684458704000777,0.06548053084439259,0.03966749307277235,0.8948519760828351
19,6227,6.105187088485627,0.39425084310261765,0.4109523044804882,0.19479685241689418,0.8222257909105508,0.1777742090894492,0.07355066645254536,0.03243937690701783,0.8940099566404368
20,5303,6.154818027531586,0.437488214218367,0.39901942296813125,0.1634923628135018,0.8629077880445031,0.1370922119554969,0.06109749198566849,0.020554403168018102,0.9183481048463135
21,16220,5.887916152897657,0.39482120838471024,0.43255240443896426,0.17262638717632553,0.8042540073982737,0.19574599260172626,0.07311960542540075,0.031319358816276205,0.895561035758323
22,14865,6.017625294315506,0.39112008072653887,0.3847965018499832,0.22408341742347798,0.8435923309788093,0.15640766902119072,0.06532122435250588,0.02515977127480659,0.9095190043726875
23,17150,5.736443148688046,0.36128279883381925,0.40822157434402334,0.23049562682215743,0.7713702623906705,0.22862973760932945,0.07685131195335276,0.05440233236151604,0.8687463556851311
24,6048,6.33994708994709,0.4290674603174603,0.33581349206349204,0.23511904761904762,0.8875661375661376,0.11243386243386243,0.05555555555555555,0.018518518518518517,0.9259259259259259
25,25387,6.021900972938906,0.39402056170480954,0.40843738921495254,0.19754204908023792,0.8561862370504589,0.1438137629495411,0.04683499428841533,0.02347658250285579,0.9296884232087289
26,20577,6.079554842785634,0.4307722214122564,0.4403460173980658,0.12888176118967778,0.8801574573552996,0.1198425426447004,0.03309520338241726,0.016377508869125722,0.950527287748457
27,3009,6.129278830176138,0.39980059820538383,0.42904619474908606,0.17115320704553008,0.9006314390162845,0.09936856098371552,0.03389830508474576,0.019940179461615155,0.9461615154536391
28,5263,5.573057191715751,0.3821014630438913,0.3857115713471404,0.23218696560896826,0.7205016150484514,0.27949838495154855,0.11913357400722022,0.06061181835455064,0.8202546076382291
29,1293,5.453209590100541,0.3480278422273782,0.3882443928847641,0.2637277648878577,0.6573859242072699,0.34261407579273007,0.17556071152358854,0.05723124516627997,0.7672080433101315
30,6394,5.7614951517047235,0.34188301532686893,0.4218016890835158,0.23631529558961525,0.7291210509852987,0.2708789490147013,0.11448232718173287,0.04770096965905536,0.8378167031592118
31,12310,5.7244516653127535,0.36328188464662875,0.40877335499593825,0.22794476035743297,0.7269699431356621,0.27303005686433796,0.120714865962632,0.05085296506904955,0.8284321689683184
32,10881,5.695708115062954,0.3271758110467788,0.4388383420641485,0.2339858468890727,0.733847991912508,0.26615200808749195,0.1114787243819502,0.05275250436540759,0.8357687712526423
33,12084,5.704899040052963,0.3556769281694803,0.4242800397219464,0.22004303210857332,0.7167328699106256,0.2832671300893744,0.13298576630254882,0.05072823568354849,0.8162859980139027
34,11025,5.900952380952381,0.4029931972789116,0.38467120181405895,0.21233560090702946,0.7745124716553288,0.2254875283446712,0.09868480725623582,0.04208616780045352,0.8592290249433107
35,4455,6.047362514029181,0.4105499438832772,0.4276094276094276,0.16184062850729516,0.8215488215488216,0.17845117845117844,0.08686868686868687,0.028282828282828285,0.8848484848484849
36,4581,5.270028378083388,0.3597467801790002,0.3837590045841519,0.25649421523684784,0.6518227461253001,0.34817725387469983,0.14953067015935384,0.06330495524994542,0.7871643745907008
37,6075,5.423374485596708,0.3455144032921811,0.42304526748971194,0.231440329218107,0.6697942386831276,0.3302057613168724,0.14222222222222222,0.06024691358024691,0.7975308641975308
38,7896,5.421732522796352,0.3494174265450861,0.4074214792299899,0.24316109422492402,0.6793313069908815,0.32066869300911854,0.15172239108409322,0.06028368794326241,0.7879939209726444
39,19242,5.443768838998025,0.3585905830994699,0.40380417835983784,0.23760523854069224,0.6836087724768735,0.3163912275231265,0.1483213803138967,0.06023282403076603,0.7914457956553372
40,7,5.571428571428571,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571
41,2,7.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0
43,23,4.695652173913044,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.43478260869565216,0.5652173913043478,0.08695652173913043,0.21739130434782608,0.6956521739130435
44,17,5.823529411764706,0.4117647058823529,0.35294117647058826,0.23529411764705882,0.6470588235294118,0.35294117647058826,0.23529411764705882,0.0,0.7647058823529411
45,41,6.2926829268292686,0.4146341463414634,0.5121951219512195,0.07317073170731707,0.8780487804878049,0.12195121951219512,0.07317073170731707,0.024390243902439025,0.9024390243902439
46,9,5.222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.0,0.7777777777777778
